# step Etot Epot T p 
0 -3642.0381 -3642.0381 0.0 459.3182 
1 -3952.6623 -3952.6623 0.0 372.6317 
2 -4183.8382 -4183.8382 0.0 349.4451 
3 -4314.6964 -4314.6964 0.0 344.3598 
4 -4395.5678 -4395.5678 0.0 343.239 
5 -4568.2122 -4568.2122 0.0 323.0481 
6 -4614.8415 -4614.8415 0.0 299.4285 
7 -4537.7567 -4537.7567 0.0 271.6669 
8 -4615.73 -4615.73 0.0 302.5978 
9 -4720.077 -4720.077 0.0 312.0277 
10 -4716.9662 -4716.9662 0.0 316.7039 
11 -4731.8597 -4731.8597 0.0 314.8133 
12 -4801.0494 -4801.0494 0.0 307.5154 
13 -4799.8448 -4799.8448 0.0 297.2739 
14 -4809.266 -4809.266 0.0 302.9406 
15 -5043.0077 -5043.0077 0.0 268.6651 
16 -5159.607 -5159.607 0.0 234.7339 
17 -5159.3198 -5159.3198 0.0 200.5742 
18 -5173.5474 -5173.5474 0.0 217.8069 
19 -5173.4377 -5173.4377 0.0 216.0897 
20 -5173.5471 -5173.5471 0.0 217.5184 
21 -5173.5448 -5173.5448 0.0 217.807 
22 -5309.0849 -5309.0849 0.0 229.1241 
23 -5363.6381 -5363.6381 0.0 237.1662 
24 -5339.1745 -5339.1745 0.0 242.0118 
25 -5364.9709 -5364.9709 0.0 238.3197 
26 -5450.9847 -5450.9847 0.0 226.9118 
27 -5445.4671 -5445.4671 0.0 211.9853 
28 -5459.8211 -5459.8211 0.0 220.7778 
29 -5459.6802 -5459.6802 0.0 219.9478 
30 -5459.8197 -5459.8197 0.0 220.6953 
31 -5459.821 -5459.821 0.0 220.7604 
32 -5459.8209 -5459.8209 0.0 220.7778 
33 -5540.2641 -5540.2641 0.0 221.6729 
34 -5556.0977 -5556.0977 0.0 219.9364 
35 -5507.4276 -5507.4276 0.0 215.5301 
36 -5558.129 -5558.129 0.0 220.6308 
37 -5632.3703 -5632.3703 0.0 211.588 
38 -5628.6072 -5628.6072 0.0 199.6606 
39 -5640.3463 -5640.3463 0.0 206.5526 
40 -5740.4598 -5740.4598 0.0 199.257 
41 -5739.2127 -5739.2127 0.0 188.727 
42 -5752.3771 -5752.3771 0.0 194.5241 
43 -5844.1797 -5844.1797 0.0 180.9404 
44 -5852.1696 -5852.1696 0.0 164.7112 
45 -5775.7889 -5775.7889 0.0 145.8906 
46 -5858.7775 -5858.7775 0.0 171.6002 
47 -5858.7161 -5858.7161 0.0 170.9306 
48 -5858.7773 -5858.7773 0.0 171.5335 
49 -5933.3441 -5933.3441 0.0 175.5902 
50 -5930.9004 -5930.9004 0.0 176.9205 
51 -5941.7343 -5941.7343 0.0 176.5542 
52 -6009.5328 -6009.5328 0.0 164.8646 
53 -5984.1362 -5984.1362 0.0 150.0159 
54 -6011.9318 -6011.9318 0.0 161.7492 
55 -6011.6575 -6011.6575 0.0 160.6602 
56 -6011.929 -6011.929 0.0 161.6412 
57 -6011.9315 -6011.9315 0.0 161.7355 
58 -6011.9315 -6011.9315 0.0 161.7492 
59 -6083.965 -6083.965 0.0 158.5479 
60 -6028.8951 -6028.8951 0.0 150.9137 
61 -6084.101 -6084.101 0.0 157.9844 
62 -6084.1677 -6084.1677 0.0 158.2014 
63 -6084.169 -6084.169 0.0 158.1715 
64 -6137.4958 -6137.4958 0.0 143.5595 
65 -6065.3222 -6065.3222 0.0 124.4743 
66 -6137.6896 -6137.6896 0.0 145.2268 
67 -6137.7401 -6137.7401 0.0 144.6869 
68 -6137.7411 -6137.7411 0.0 144.7455 
69 -6192.3859 -6192.3859 0.0 136.8142 
70 -6107.9237 -6107.9237 0.0 123.9337 
71 -6193.0586 -6193.0586 0.0 137.9014 
72 -6247.4275 -6247.4275 0.0 128.381 
73 -6146.8283 -6146.8283 0.0 113.3701 
74 -6248.9579 -6248.9579 0.0 130.1297 
75 -6248.9431 -6248.9431 0.0 129.9603 
76 -6248.9578 -6248.9578 0.0 130.1129 
77 -6300.2113 -6300.2113 0.0 139.2573 
78 -6214.5888 -6214.5888 0.0 143.4221 
79 -6301.179 -6301.179 0.0 138.3988 
80 -6301.1696 -6301.1696 0.0 138.4881 
81 -6301.179 -6301.179 0.0 138.4078 
82 -6344.511 -6344.511 0.0 138.5383 
83 -6252.1879 -6252.1879 0.0 133.5532 
84 -6346.614 -6346.614 0.0 138.9003 
85 -6346.5936 -6346.5936 0.0 138.872 
86 -6346.6138 -6346.6138 0.0 138.8975 
87 -6393.5035 -6393.5035 0.0 129.7753 
88 -6323.3661 -6323.3661 0.0 116.1629 
89 -6394.0034 -6394.0034 0.0 130.8953 
90 -6394.0007 -6394.0007 0.0 130.7854 
91 -6394.0038 -6394.0038 0.0 130.8657 
92 -6435.6883 -6435.6883 0.0 130.5706 
93 -6352.0144 -6352.0144 0.0 125.6096 
94 -6437.3113 -6437.3113 0.0 130.9505 
95 -6437.2977 -6437.2977 0.0 130.9184 
96 -6437.3114 -6437.3114 0.0 130.9473 
97 -6475.9239 -6475.9239 0.0 125.4414 
98 -6397.6813 -6397.6813 0.0 115.5371 
99 -6477.4838 -6477.4838 0.0 126.6869 
100 -6477.4708 -6477.4708 0.0 126.5682 
101 -6477.4837 -6477.4837 0.0 126.6752 
102 -6468.3756 -6468.3756 0.0 136.265 
103 -6492.2505 -6492.2505 0.0 131.7592 
104 -6456.9912 -6456.9912 0.0 140.9867 
105 -6517.4761 -6517.4761 0.0 136.7691 
106 -6516.8975 -6516.8975 0.0 137.3857 
107 -6517.4727 -6517.4727 0.0 136.8326 
108 -6517.4762 -6517.4762 0.0 136.785 
109 -6506.2457 -6506.2457 0.0 152.1443 
110 -6544.5377 -6544.5377 0.0 144.9351 
111 -6555.856 -6555.856 0.0 124.3825 
112 -6360.6293 -6360.6293 0.0 97.8158 
113 -6576.2426 -6576.2426 0.0 134.2769 
114 -6576.0588 -6576.0588 0.0 133.3411 
115 -6576.2427 -6576.2427 0.0 134.1838 
116 -6580.2665 -6580.2665 0.0 123.9283 
117 -6393.2189 -6393.2189 0.0 107.0898 
118 -6602.003 -6602.003 0.0 129.6609 
119 -6601.7978 -6601.7978 0.0 129.1557 
120 -6602.0021 -6602.0021 0.0 129.6111 
121 -6602.003 -6602.003 0.0 129.6456 
122 -6628.6833 -6628.6833 0.0 129.8932 
123 -6535.7232 -6535.7232 0.0 126.3809 
124 -6633.2668 -6633.2668 0.0 130.2055 
125 -6633.2239 -6633.2239 0.0 130.1871 
126 -6633.2665 -6633.2665 0.0 130.2038 
127 -6633.2668 -6633.2668 0.0 130.2051 
128 -6633.2668 -6633.2668 0.0 130.2055 
129 -6658.9185 -6658.9185 0.0 148.7794 
130 -6589.2492 -6589.2492 0.0 164.0892 
131 -6661.4527 -6661.4527 0.0 144.7986 
132 -6690.6566 -6690.6566 0.0 150.5358 
133 -6650.6952 -6650.6952 0.0 153.7952 
134 -6690.8333 -6690.8333 0.0 150.0737 
135 -6690.8534 -6690.8534 0.0 150.192 
136 -6716.7839 -6716.7839 0.0 159.0976 
137 -6675.4833 -6675.4833 0.0 165.3107 
138 -6717.1988 -6717.1988 0.0 158.2374 
139 -6743.5505 -6743.5505 0.0 159.7413 
140 -6705.3963 -6705.3963 0.0 158.7867 
141 -6743.7904 -6743.7904 0.0 159.7065 
142 -6743.7942 -6743.7942 0.0 159.7116 
143 -6775.8149 -6775.8149 0.0 162.3672 
144 -6756.737 -6756.737 0.0 163.3964 
145 -6776.245 -6776.245 0.0 162.5874 
146 -6807.4438 -6807.4438 0.0 171.4477 
147 -6786.1786 -6786.1786 0.0 178.7358 
148 -6807.6801 -6807.6801 0.0 172.2419 
149 -6807.6785 -6807.6785 0.0 172.1631 
150 -6807.6802 -6807.6802 0.0 172.2264 
151 -6834.154 -6834.154 0.0 186.6319 
152 -6793.9746 -6793.9746 0.0 199.1221 
153 -6834.4477 -6834.4477 0.0 185.2869 
154 -6834.4454 -6834.4454 0.0 185.4226 
155 -6834.4477 -6834.4477 0.0 185.3178 
156 -6860.0669 -6860.0669 0.0 188.8698 
157 -6806.6076 -6806.6076 0.0 190.2692 
158 -6861.1595 -6861.1595 0.0 188.43 
159 -6861.1499 -6861.1499 0.0 188.4773 
160 -6861.1595 -6861.1595 0.0 188.4358 
161 -6861.1595 -6861.1595 0.0 188.43 
162 -6892.1805 -6892.1805 0.0 193.3965 
163 -6846.2749 -6846.2749 0.0 196.0787 
164 -6892.4339 -6892.4339 0.0 193.0175 
165 -6892.4371 -6892.4371 0.0 193.0593 
166 -6892.4371 -6892.4371 0.0 193.053 
167 -6892.4371 -6892.4371 0.0 193.0593 
168 -6925.8501 -6925.8501 0.0 198.9523 
169 -6891.3468 -6891.3468 0.0 203.4683 
170 -6925.4901 -6925.4901 0.0 198.4437 
171 -6925.8244 -6925.8244 0.0 198.9087 
172 -6925.8282 -6925.8282 0.0 198.9543 
173 -6925.8283 -6925.8283 0.0 198.9593 
174 -6955.6287 -6955.6287 0.0 199.5435 
175 -6933.991 -6933.991 0.0 199.3518 
176 -6955.8128 -6955.8128 0.0 199.5535 
177 -6955.8166 -6955.8166 0.0 199.5532 
178 -6986.5847 -6986.5847 0.0 214.0822 
179 -6946.7018 -6946.7018 0.0 227.4436 
180 -6986.6581 -6986.6581 0.0 212.6936 
181 -6986.7191 -6986.7191 0.0 213.2514 
182 -6986.7186 -6986.7186 0.0 213.3347 
183 -6986.7192 -6986.7192 0.0 213.2766 
184 -7007.8027 -7007.8027 0.0 225.2294 
185 -6943.5166 -6943.5166 0.0 234.7112 
186 -7010.506 -7010.506 0.0 222.4622 
187 -7010.4812 -7010.4812 0.0 222.7461 
188 -7010.5059 -7010.5059 0.0 222.4907 
189 -7041.4178 -7041.4178 0.0 222.235 
190 -7008.9933 -7008.9933 0.0 220.6402 
191 -7041.1335 -7041.1335 0.0 222.3282 
192 -7041.4166 -7041.4166 0.0 222.2468 
193 -7041.417 -7041.417 0.0 222.2409 
194 -7041.4165 -7041.4165 0.0 222.237 
195 -7072.6282 -7072.6282 0.0 223.0711 
196 -7041.01 -7041.01 0.0 223.1087 
197 -7072.3053 -7072.3053 0.0 223.0333 
198 -7072.6332 -7072.6332 0.0 223.0699 
199 -7072.6355 -7072.6355 0.0 223.0708 
200 -7072.6364 -7072.6364 0.0 223.0712 
201 -7072.6368 -7072.6368 0.0 223.0715 
202 -7072.637 -7072.637 0.0 223.0717 
203 -7072.6374 -7072.6374 0.0 223.0718 
204 -7072.6375 -7072.6375 0.0 223.0719 
205 -7072.6378 -7072.6378 0.0 223.0721 
206 -7072.6379 -7072.6379 0.0 223.0721 
207 -7097.2482 -7097.2482 0.0 234.1021 
208 -7042.0854 -7042.0854 0.0 243.9993 
209 -7098.6651 -7098.6651 0.0 232.1133 
210 -7098.6564 -7098.6564 0.0 232.3142 
211 -7098.6657 -7098.6657 0.0 232.1385 
212 -7118.6888 -7118.6888 0.0 232.2904 
213 -7052.1567 -7052.1567 0.0 231.208 
214 -7121.7412 -7121.7412 0.0 232.3937 
215 -7121.7169 -7121.7169 0.0 232.3877 
216 -7121.7418 -7121.7418 0.0 232.393 
217 -7146.9477 -7146.9477 0.0 240.8888 
218 -7095.5064 -7095.5064 0.0 248.7346 
219 -7148.0317 -7148.0317 0.0 239.5248 
220 -7148.0234 -7148.0234 0.0 239.6619 
221 -7148.0318 -7148.0318 0.0 239.5419 
222 -7167.8608 -7167.8608 0.0 249.3403 
223 -7097.0708 -7097.0708 0.0 258.294 
224 -7171.376 -7171.376 0.0 246.7128 
225 -7171.3444 -7171.3444 0.0 246.979 
226 -7171.376 -7171.376 0.0 246.7395 
227 -7188.6776 -7188.6776 0.0 246.5685 
228 -7111.2914 -7111.2914 0.0 245.7353 
229 -7193.3557 -7193.3557 0.0 246.719 
230 -7193.3159 -7193.3159 0.0 246.7074 
231 -7193.356 -7193.356 0.0 246.7179 
232 -7210.6039 -7210.6039 0.0 237.8799 
233 -7143.4072 -7143.4072 0.0 228.6004 
234 -7214.2176 -7214.2176 0.0 240.5451 
235 -7214.1881 -7214.1881 0.0 240.2806 
236 -7214.218 -7214.218 0.0 240.5187 
237 -7235.9834 -7235.9834 0.0 250.5891 
238 -7193.5678 -7193.5678 0.0 260.635 
239 -7236.7956 -7236.7956 0.0 248.98 
240 -7236.7897 -7236.7897 0.0 249.141 
241 -7236.7957 -7236.7957 0.0 248.9962 
242 -7256.81 -7256.81 0.0 254.2209 
243 -7216.4155 -7216.4155 0.0 259.4409 
244 -7257.6279 -7257.6279 0.0 253.3573 
245 -7257.622 -7257.622 0.0 253.4434 
246 -7257.628 -7257.628 0.0 253.3661 
247 -7208.4047 -7208.4047 0.0 248.3017 
248 -7268.6085 -7268.6085 0.0 252.9767 
249 -7207.0666 -7207.0666 0.0 241.954 
250 -7287.8572 -7287.8572 0.0 250.4632 
251 -7235.6623 -7235.6623 0.0 245.4712 
252 -7310.1334 -7310.1334 0.0 249.6063 
253 -7249.1395 -7249.1395 0.0 246.4841 
254 -7331.2428 -7331.2428 0.0 249.3511 
255 -7274.9403 -7274.9403 0.0 239.6491 
256 -7347.4572 -7347.4572 0.0 247.1398 
257 -7346.7362 -7346.7362 0.0 246.563 
258 -7347.4507 -7347.4507 0.0 247.0836 
259 -7347.4572 -7347.4572 0.0 247.1342 
260 -7296.9804 -7296.9804 0.0 240.0768 
261 -7362.3549 -7362.3549 0.0 245.7984 
262 -7331.9043 -7331.9043 0.0 244.7163 
263 -7376.4515 -7376.4515 0.0 246.2099 
264 -7355.4743 -7355.4743 0.0 241.2869 
265 -7390.0615 -7390.0615 0.0 245.0355 
266 -7389.7195 -7389.7195 0.0 244.7645 
267 -7390.0582 -7390.0582 0.0 245.0095 
268 -7390.0615 -7390.0615 0.0 245.0329 
269 -7391.196 -7391.196 0.0 243.1454 
270 -7274.2095 -7274.2095 0.0 237.6745 
271 -7405.318 -7405.318 0.0 244.5268 
272 -7405.1799 -7405.1799 0.0 244.4282 
273 -7405.3173 -7405.3173 0.0 244.5172 
274 -7405.318 -7405.318 0.0 244.5249 
275 -7411.398 -7411.398 0.0 247.9832 
276 -7326.8363 -7326.8363 0.0 248.764 
277 -7419.8367 -7419.8367 0.0 246.8195 
278 -7419.7542 -7419.7542 0.0 246.9584 
279 -7419.8359 -7419.8359 0.0 246.8337 
280 -7419.8367 -7419.8367 0.0 246.8212 
281 -7423.005 -7423.005 0.0 241.8853 
282 -7345.3353 -7345.3353 0.0 234.2919 
283 -7431.4779 -7431.4779 0.0 244.4933 
284 -7431.3962 -7431.3962 0.0 244.2584 
285 -7431.4773 -7431.4773 0.0 244.4702 
286 -7431.4779 -7431.4779 0.0 244.4888 
287 -7441.8785 -7441.8785 0.0 238.2029 
288 -7401.2196 -7401.2196 0.0 230.3112 
289 -7444.0695 -7444.0695 0.0 240.2339 
290 -7455.6576 -7455.6576 0.0 243.333 
291 -7427.4232 -7427.4232 0.0 245.2735 
292 -7456.4918 -7456.4918 0.0 242.7835 
293 -7470.12 -7470.12 0.0 246.514 
294 -7456.3406 -7456.3406 0.0 249.5266 
295 -7469.9656 -7469.9656 0.0 246.1745 
296 -7470.0978 -7470.0978 0.0 246.4812 
297 -7470.099 -7470.099 0.0 246.5115 
298 -7470.0991 -7470.0991 0.0 246.5148 
299 -7482.5869 -7482.5869 0.0 246.5174 
300 -7470.6051 -7470.6051 0.0 245.7749 
301 -7482.4807 -7482.4807 0.0 246.4768 
302 -7482.5742 -7482.5742 0.0 246.5138 
303 -7482.5722 -7482.5722 0.0 246.5181 
304 -7492.427 -7492.427 0.0 245.7571 
305 -7476.8049 -7476.8049 0.0 244.1267 
306 -7492.5695 -7492.5695 0.0 245.8874 
307 -7504.605 -7504.605 0.0 246.6955 
308 -7499.7489 -7499.7489 0.0 247.0546 
309 -7504.9868 -7504.9868 0.0 246.8094 
310 -7518.826 -7518.826 0.0 243.493 
311 -7520.3507 -7520.3507 0.0 239.9598 
312 -7509.2937 -7509.2937 0.0 236.2493 
313 -7521.2409 -7521.2409 0.0 241.3255 
314 -7532.1324 -7532.1324 0.0 242.6756 
315 -7523.1192 -7523.1192 0.0 243.5544 
316 -7532.1366 -7532.1366 0.0 242.7842 
317 -7532.1616 -7532.1616 0.0 242.7328 
318 -7532.1617 -7532.1617 0.0 242.7271 
319 -7540.1223 -7540.1223 0.0 245.1144 
320 -7518.0332 -7518.0332 0.0 246.6858 
321 -7540.9492 -7540.9492 0.0 244.6292 
322 -7549.3123 -7549.3123 0.0 247.4795 
323 -7519.4008 -7519.4008 0.0 249.5514 
324 -7550.8037 -7550.8037 0.0 246.7631 
325 -7550.7901 -7550.7901 0.0 246.8379 
326 -7550.8037 -7550.8037 0.0 246.7706 
327 -7560.9773 -7560.9773 0.0 243.5377 
328 -7520.6882 -7520.6882 0.0 239.7874 
329 -7563.1689 -7563.1689 0.0 244.567 
330 -7563.1508 -7563.1508 0.0 244.4661 
331 -7563.1695 -7563.1695 0.0 244.5567 
332 -7563.1692 -7563.1692 0.0 244.558 
333 -7563.1695 -7563.1695 0.0 244.5567 
334 -7568.3595 -7568.3595 0.0 251.1586 
335 -7507.7362 -7507.7362 0.0 256.8962 
336 -7574.1165 -7574.1165 0.0 248.5147 
337 -7574.0638 -7574.0638 0.0 248.7871 
338 -7574.1165 -7574.1165 0.0 248.542 
339 -7578.1014 -7578.1014 0.0 250.5444 
340 -7516.8365 -7516.8365 0.0 251.6836 
341 -7584.2858 -7584.2858 0.0 249.7982 
342 -7584.2288 -7584.2288 0.0 249.8817 
343 -7584.2861 -7584.2861 0.0 249.8064 
344 -7584.2863 -7584.2863 0.0 249.8035 
345 -7584.2861 -7584.2861 0.0 249.8028 
346 -7584.2863 -7584.2863 0.0 249.8035 
347 -7588.2205 -7588.2205 0.0 254.2724 
348 -7530.0781 -7530.0781 0.0 257.9227 
349 -7594.0455 -7594.0455 0.0 252.4473 
350 -7593.9911 -7593.9911 0.0 252.6383 
351 -7594.0451 -7594.0451 0.0 252.4666 
352 -7594.0454 -7594.0454 0.0 252.4523 
353 -7594.0455 -7594.0455 0.0 252.4473 
354 -7602.3134 -7602.3134 0.0 258.544 
355 -7560.6855 -7560.6855 0.0 264.006 
356 -7605.0391 -7605.0391 0.0 256.5999 
357 -7605.0143 -7605.0143 0.0 256.7982 
358 -7605.0387 -7605.0387 0.0 256.6199 
359 -7605.0388 -7605.0388 0.0 256.6038 
360 -7605.0391 -7605.0391 0.0 256.5999 
361 -7614.0165 -7614.0165 0.0 260.6718 
362 -7576.6801 -7576.6801 0.0 264.0895 
363 -7616.1186 -7616.1186 0.0 259.5133 
364 -7616.1011 -7616.1011 0.0 259.6319 
365 -7616.1188 -7616.1188 0.0 259.5252 
366 -7616.1188 -7616.1188 0.0 259.5228 
367 -7616.1188 -7616.1188 0.0 259.5252 
368 -7627.0703 -7627.0703 0.0 258.7667 
369 -7597.4684 -7597.4684 0.0 257.5027 
370 -7628.0928 -7628.0928 0.0 258.9934 
371 -7628.0852 -7628.0852 0.0 258.9718 
372 -7628.093 -7628.093 0.0 258.9913 
373 -7637.3628 -7637.3628 0.0 264.3917 
374 -7603.4671 -7603.4671 0.0 269.0136 
375 -7639.0724 -7639.0724 0.0 262.9448 
376 -7639.0577 -7639.0577 0.0 263.0926 
377 -7639.0725 -7639.0725 0.0 262.9596 
378 -7639.0725 -7639.0725 0.0 262.955 
379 -7639.0725 -7639.0725 0.0 262.9596 
380 -7654.9757 -7654.9757 0.0 268.7341 
381 -7640.4008 -7640.4008 0.0 274.3133 
382 -7654.9114 -7654.9114 0.0 269.2965 
383 -7654.988 -7654.988 0.0 268.8925 
384 -7555.6836 -7555.6836 0.0 267.822 
385 -7662.2369 -7662.2369 0.0 269.8718 
386 -7607.3673 -7607.3673 0.0 272.4119 
387 -7670.7439 -7670.7439 0.0 271.3104 
388 -7670.662 -7670.662 0.0 271.1912 
389 -7670.7433 -7670.7433 0.0 271.2987 
390 -7670.7439 -7670.7439 0.0 271.3082 
391 -7638.0404 -7638.0404 0.0 281.7659 
392 -7682.8465 -7682.8465 0.0 275.1767 
393 -7682.7301 -7682.7301 0.0 274.8022 
394 -7682.8457 -7682.8457 0.0 275.1394 
395 -7682.8465 -7682.8465 0.0 275.17 
396 -7682.8465 -7682.8465 0.0 275.1767 
397 -7660.3435 -7660.3435 0.0 264.9486 
398 -7694.891 -7694.891 0.0 271.5183 
399 -7694.774 -7694.774 0.0 271.8908 
400 -7694.8902 -7694.8902 0.0 271.5556 
401 -7694.8909 -7694.8909 0.0 271.5234 
402 -7671.2588 -7671.2588 0.0 263.0404 
403 -7705.1712 -7705.1712 0.0 268.7872 
404 -7680.1152 -7680.1152 0.0 270.5076 
405 -7714.2864 -7714.2864 0.0 269.699 
406 -7689.444 -7689.444 0.0 273.8597 
407 -7723.0725 -7723.0725 0.0 271.4785 
408 -7700.9842 -7700.9842 0.0 275.8681 
409 -7731.6567 -7731.6567 0.0 273.376 
410 -7710.1255 -7710.1255 0.0 283.3915 
411 -7739.1955 -7739.1955 0.0 277.1113 
412 -7723.1335 -7723.1335 0.0 277.894 
413 -7746.5703 -7746.5703 0.0 277.7079 
414 -7733.3244 -7733.3244 0.0 268.857 
415 -7753.6741 -7753.6741 0.0 274.7353 
416 -7748.693 -7748.693 0.0 275.0891 
417 -7761.5688 -7761.5688 0.0 275.1513 
418 -7759.005 -7759.005 0.0 275.7555 
419 -7769.6101 -7769.6101 0.0 275.6844 
420 -7765.8052 -7765.8052 0.0 284.0282 
421 -7777.142 -7777.142 0.0 279.6919 
422 -7777.0305 -7777.0305 0.0 280.1537 
423 -7777.1412 -7777.1412 0.0 279.7382 
424 -7777.1422 -7777.1422 0.0 279.6964 
425 -7771.3446 -7771.3446 0.0 282.2107 
426 -7784.1028 -7784.1028 0.0 281.0578 
427 -7783.9774 -7783.9774 0.0 281.2089 
428 -7784.102 -7784.102 0.0 281.0732 
429 -7784.103 -7784.103 0.0 281.0603 
430 -7785.3332 -7785.3332 0.0 286.2658 
431 -7727.9024 -7727.9024 0.0 289.8163 
432 -7791.9905 -7791.9905 0.0 283.9992 
433 -7791.9257 -7791.9257 0.0 284.2446 
434 -7791.9903 -7791.9903 0.0 284.0238 
435 -7791.9905 -7791.9905 0.0 284.0057 
436 -7789.9726 -7789.9726 0.0 272.9504 
437 -7798.9837 -7798.9837 0.0 279.0791 
438 -7798.8974 -7798.8974 0.0 278.4912 
439 -7798.9831 -7798.9831 0.0 279.0206 
440 -7798.9838 -7798.9838 0.0 279.0678 
441 -7803.8564 -7803.8564 0.0 282.3138 
442 -7758.2468 -7758.2468 0.0 284.5314 
443 -7807.8397 -7807.8397 0.0 281.1584 
444 -7807.8046 -7807.8046 0.0 281.2824 
445 -7807.84 -7807.84 0.0 281.1709 
446 -7807.84 -7807.84 0.0 281.1674 
447 -7814.4379 -7814.4379 0.0 285.7227 
448 -7775.4585 -7775.4585 0.0 289.3877 
449 -7817.2128 -7817.2128 0.0 284.2357 
450 -7817.189 -7817.189 0.0 284.3896 
451 -7817.2128 -7817.2128 0.0 284.2512 
452 -7818.992 -7818.992 0.0 286.8291 
