frame    mol0
    0      NA
    1   2.229
    2   3.089
    3   3.320
    4   4.499
    5   4.030
    6   2.962
    7   3.249
    8   3.329
    9   3.474
   10   3.257
   11   3.585
   12   4.039
   13   4.279
   14   4.260
   15   3.839
   16   3.244
   17   4.096
   18   4.506
   19   3.392
   20   4.198
   21   4.401
   22   4.393
   23   3.799
   24   4.033
   25   3.709
   26   4.854
   27   4.926
   28   5.160
   29   5.353
   30   6.265
   31   6.117
   32   6.178
   33   5.785
   34   5.864
   35   5.359
   36   5.554
   37   5.851
   38   6.273
   39   6.497
   40   6.781
   41   6.689
   42   6.836
   43   6.748
   44   6.046
   45   5.847
   46   5.928
   47   5.689
   48   5.582
   49   5.957
   50   6.582
   51   7.145
   52   6.906
   53   6.272
   54   5.978
   55   5.833
   56   6.307
   57   6.649
   58   5.706
   59   5.850
   60   6.852
   61   6.683
   62   7.327
   63   7.162
   64   7.387
   65   6.476
   66   7.728
   67   7.169
   68   8.022
   69   7.637
   70   7.645
   71   7.600
   72   7.690
   73   7.141
   74   7.137
   75   7.558
   76   7.301
   77   7.072
   78   6.872
   79   7.182
   80   6.943
   81   7.612
   82   6.828
   83   6.994
   84   6.691
   85   6.670
   86   6.894
   87   7.016
   88   6.639
   89   6.457
   90   6.594
   91   6.647
   92   7.231
   93   7.626
   94   7.590
   95   7.606
   96   6.926
   97   7.441
   98   6.622
   99   7.163
  100   7.166
  101   6.952

